"pure-name" global-time depth color-temp color-tint1 color-tint2 
DSC03189 1410681511 3.24 19502 0.5750 1.0000 
DSC03195 1410681679 5.07 31049 0.4370 1.0000 
DSC03196 1410681766 10.99 10317 0.5690 1.5000 
DSC03198 1410681792 13.10 15848 0.4760 1.5000 
DSC03200 1410681829 15.40 31769 0.4200 1.5000 
DSC03201 1410681907 18.52 59999 0.2840 1.5000 
DSC03203 1410681961 20.81 59999 0.3150 1.5000 
DSC03212 1410682131 19.55 59999 0.3070 1.5000 
DSC03214 1410682251 16.56 48054 0.3440 1.5000 
DSC03224 1410682402 13.58 26972 0.4520 1.5000 
DSC03225 1410682529 9.05 10317 0.5690 1.4000 
DSC03228 1410682642 6.92 10317 0.5690 1.3000 
DSC03233 1410682726 6.31 38691 0.3640 1.0000 
DSC03236 1410682794 4.01 15236 0.5230 1.0000 
DSC03239 1410682867 4.76 28816 0.4510 1.0000 
DSC03242 1410682991 3.20 11920 0.5990 1.0000 
DSC03246 1410765595 3.20 8039 0.7120 1.0000 
DSC03248 1410765671 5.18 31263 0.4380 1.0000 
DSC03249 1410765715 7.22 59999 0.2760 1.0000 
DSC03252 1410765763 11.07 39196 0.3740 1.3000 
DSC03255 1410765831 15.73 38676 0.4030 1.5000 
DSC03258 1410765926 20.59 57418 0.3270 1.5000 
DSC03261 1410765981 21.41 59999 0.3360 1.5000 
DSC03267 1410766090 23.80 59999 0.3570 1.5000 
DSC03269 1410766204 21.22 59999 0.3590 1.5000 
DSC03271 1410766258 18.24 59999 0.3120 1.5000 
DSC03275 1410766357 16.55 59999 0.2720 1.5000 
DSC03280 1410766482 15.39 38659 0.4040 1.5000 
DSC03282 1410766537 14.33 38475 0.3920 1.5000 
DSC03283 1410766610 11.70 15584 0.5380 1.5000 
DSC03286 1410766718 11.77 17051 0.4890 1.5000 
DSC03289 1410766780 10.9 12803 0.5210 1.5000 
DSC03293 1410766866 9.61 9135 0.6300 1.5000 
DSC03297 1410767000 8.7 9186 0.6690 1.5000 
DSC03298 1410767123 7.59 32080 0.4030 1.3000 
DSC03302 1410767229 6.46 33783 0.4300 1.3000 
DSC03303 1410767232 6.42 33207 0.4400 1.3000 
DSC03309 1410767296 7.22 35764 0.3830 1.2000 
DSC03317 1410767462 4.50 10797 0.5960 1.2000 
DSC03321 1410767505 4.33 8047 0.6520 1.2000 
DSC03324 1410767629 4.30 8779 0.6630 1.2000 
DSC03330 1410767666 3.61 7615 0.6820 1.2000 
DSC03333 1410767703 3.60 7511 0.7190 1.2000 
DSC03336 1410767791 3.04 8002 0.7190 1.2000 
DSC03341 1410851038 10.89 9073 0.6690 1.2000 
DSC03342 1410851228 17.50 39459 0.4310 1.5000 
DSC03345 1410851286 19.88 59999 0.3030 1.5000 
DSC03351 1410851450 21.25 59999 0.3450 1.5000 
DSC03356 1410851562 21.27 59999 0.3410 1.5000 
DSC03363 1410851639 20.10 59999 0.3360 1.5000 
DSC03370 1410851783 20.85 59999 0.3440 1.5000 
DSC03376 1410851909 23.34 59999 0.3470 1.5000 
DSC03379 1410851992 23.20 59999 0.3520 1.5000 
DSC03383 1410852024 21.72 59999 0.3620 1.5000 
DSC03389 1410852140 20.2 59999 0.3330 1.5000 
DSC03401 1410852359 14.08 40465 0.4010 1.5000 
DSC03402 1410852426 15.20 27426 0.5670 1.5000 
DSC03403 1410852585 12.98 27481 0.4500 1.5000 
DSC03407 1410852837 6.57 44066 0.3700 1.2000 
DSC03409 1410852874 5.58 44066 0.3700 1.2000 
