"pure-name" global-time depth color-temp color-tint1 color-tint2 
DSC03150 1409982971 4.7 6993 67 -1 
DSC03151 1409983050 6.25 9464 173 -1 
DSC03156 1409983252 6.10 9519 170 -1 
DSC03157 1409983431 7.26 9747 192 -1 
DSC03159 1409983592 7.58 9698 196 -1 
DSC03160 1409983862 7.41 9559 195 -1 
DSC03161 1409984182 5.52 8907 165 -1 
DSC03166 1409984465 7.28 9167 186 -1 
DSC03169 1409984571 7.18 9409 191 -1 
DSC03175 1409984833 5.29 8660 172 -1 
DSC03179 1409985032 6.44 9126 169 -1 
DSC03180 1409985157 7.24 9520 184 -1 
DSC03182 1409985590 7.00 9801 184 -1 
DSC03183 1409985763 5.92 8610 175 -1 
DSC03186 1409986284 3.78 7381 123 -1 
